Issue Type,Issue key,Issue id,Summary,Assignee,Reporter,Priority,Status,Resolution,Created,Updated,Due Date
Bug,IO-494,12928059,Mismatch return type in api docs of class DirectoryWalker.,niallp,Hunterhjy,Trivial,Closed,Fixed,06/Jan/16 16:40,08/Nov/16 17:58,
Bug,IO-492,12924673,"Typo: In an IOUtils.java comment it says ""focussed"" instead of ""focused""",garydgregory,bryant1410,Minor,Closed,Fixed,29/Dec/15 12:12,29/Dec/15 17:42,
Bug,IO-484,12852553,FilenameUtils should handle embedded null bytes,krosenvold,krosenvold,Major,Closed,Fixed,06/Aug/15 11:15,06/Aug/15 12:23,
Bug,IO-481,12839199,org.apache.commons.io.FileUtils#waitFor waits too long,krosenvold,krosenvold,Major,Closed,Fixed,19/Jun/15 18:19,23/Jun/15 17:42,
Bug,IO-479,12832077,"Correct exception message in FileUtils.getFile(File, String...)",britter,britter,Major,Closed,Fixed,22/May/15 07:15,08/Nov/16 17:58,
Bug,IO-462,12759160,IOExceptionWithCause no longer needed,,sebb@apache.org,Minor,Closed,Fixed,03/Dec/14 12:48,08/Nov/16 17:59,
Bug,IO-453,12728035,Regression in FileUtils.readFileToString from 2.0.1,,schristou88,Major,Closed,Fixed,17/Jul/14 20:43,08/Nov/16 17:59,
Bug,IO-451,12726999,ant test fails - resources missing from test classpath,,standish,Major,Closed,Fixed,13/Jul/14 16:58,08/Nov/16 17:58,
Bug,IO-448,12721240,FileUtils.waitFor(...) swallows thread interrupted status,krosenvold,OydvO,Minor,Closed,Fixed,14/Jun/14 08:37,23/Jun/15 05:58,
Bug,IO-436,12707694,Improper JavaDoc comment for FilenameUtils.indexOfExtension,garydgregory,christoph.schneegans,Trivial,Closed,Fixed,10/Apr/14 12:34,08/Nov/16 17:58,
Bug,IO-428,12700960,BOMInputStream.skip returns wrong count if stream contains no BOM,krosenvold,steff,Minor,Closed,Fixed,12/Mar/14 13:10,23/Jun/15 06:00,
Bug,IO-424,12692560,"Javadoc fixes, mostly to appease 1.8.0",,scop,Minor,Closed,Fixed,31/Jan/14 18:41,23/Apr/17 10:33,
Bug,IO-401,12675593,[IO] copyFileToDirectory - Over-Write File,,belugabehr,Minor,Closed,Invalid,24/Oct/13 23:53,25/Oct/13 00:00,
Bug,IO-395,12662525,[IO] Configurable Buffered Size,brentworden,belugabehr,Trivial,Closed,Implemented,08/Aug/13 00:59,08/Nov/16 17:59,
Bug,IO-390,12657041,FileUtils.sizeOfDirectoryAsBigInteger can overflow,,sebb@apache.org,Major,Closed,Fixed,10/Jul/13 09:44,08/Nov/16 17:59,
Bug,IO-389,12656997,FileUtils.sizeOfDirectory can throw IllegalArgumentException,,austind,Minor,Closed,Fixed,10/Jul/13 01:26,08/Nov/16 17:58,
Bug,IO-383,12650502,FileUtils.doCopyFile caches the file size; needs to be documented,,sebb@apache.org,Trivial,Closed,Fixed,02/Jun/13 11:53,08/Nov/16 17:59,
Bug,IO-379,12643999,CharSequenceInputStream - add tests for available(),,sebb@apache.org,Major,Closed,Fixed,22/Apr/13 21:01,08/Nov/16 17:59,
Bug,IO-374,12641281,WildcardFileFilter ctors should not use null to mean IOCase.SENSITIVE when delegating to other ctors,,sebb@apache.org,Minor,Closed,Fixed,07/Apr/13 21:46,08/Nov/16 17:59,
Bug,IO-372,12635866,FileUtils.moveDirectory can produce misleading error message on failiure,,maxmil23,Major,Closed,Fixed,07/Mar/13 19:05,08/Nov/16 17:58,
Bug,IO-368,12633786,ClassLoaderObjectInputStream does not handle primitive typed members,,thaddeus.diamond,Major,Closed,Fixed,24/Feb/13 07:13,08/Nov/16 17:58,
Bug,IO-362,12625597,"IOUtils.contentEquals* methods returns false if input1 == input2, should return true",,mmadson,Major,Closed,Fixed,01/Jan/13 01:05,08/Nov/16 17:59,
Bug,IO-361,12624662,Add API FileUtils.forceMkdirsParent(),garydgregory,garydgregory,Major,Closed,Fixed,19/Dec/12 16:16,08/Nov/16 17:58,
Bug,IO-357,12617027,[Tailer] InterruptedException while the thead is sleeping is silently ignored,,mortenh,Major,Closed,Fixed,20/Nov/12 23:46,08/Nov/16 17:59,
Bug,IO-356,12614986,CharSequenceInputStream#reset() behaves incorrectly in case when buffer size is not dividable by data size,,dma_k,Major,Closed,Fixed,06/Nov/12 16:28,08/Nov/16 17:59,
Bug,IO-355,12614198,IOUtils copyLarge() and skip() methods are performance hogs,,apache.k.ulib@recursor.net,Major,Closed,Fixed,31/Oct/12 16:25,08/Nov/16 17:59,
Bug,IO-354,12613739,Commons IO Tailer does not respect UTF-8 Charset,,liyuyi,Major,Closed,Fixed,27/Oct/12 00:08,08/Nov/16 17:59,
Bug,IO-343,12604335,org.apache.commons.io.comparator Javadoc is inconsistent with real code,,igorlash,Minor,Closed,Fixed,22/Aug/12 07:20,08/Nov/16 17:59,
Bug,IO-328,12552764,FileUtils.listFilesAndDirs includes original dir in results even when it doesn't match filter,,hossman,Major,Closed,Fixed,25/Apr/12 23:50,11/Oct/17 12:41,
Bug,IO-323,12551055,What should happen in FileUtils.sizeOf[Directory] when an overflow takes place?,,garydgregory,Major,Closed,Fixed,16/Apr/12 13:09,08/Nov/16 17:59,
Bug,IO-299,12538613,getPrefixLength returns null if filename has leading slashes,,latrine,Major,Closed,Fixed,17/Jan/12 09:57,08/Nov/16 17:59,
Bug,IO-253,12477586,Test Failures using IBM JDK,,niallp,Minor,Closed,Fixed,17/Oct/10 22:42,23/Apr/17 17:53,
