      82 text files.
classified 82 files     100 files      89 text files.
classified 89 files 1:        1 unique file.                           2:        2 unique files.                               123 files ignored.                           

http://cloc.sourceforge.net v 1.64  T=2.70 s (0.4 files/s, 0.4 lines/s)
----------------------------------------------------------------------------------------
Language                              files          blank        comment           code
----------------------------------------------------------------------------------------
Ant
 same                                     0              0              0              0
 modified                                 0              0              0              0
 added                                    1             32             57            243
 removed                                  1              7              7            284
Maven
 same                                     0              0              0              0
 modified                                 0              0              0              0
 added                                    1             13             15            270
 removed                                  1              8             15            236
Java
 same                                     0              0              0              0
 modified                                 0              0              0              0
 added                                   54           1065           4795           4299
 removed                                 42            972           4187           3773
XML
 same                                     0              0              0              0
 modified                                 0              0              0              0
 added                                   17            251            419           1662
 removed                                 17            267            398           1607
HTML
 same                                     0              0              0              0
 modified                                 0              0              0              0
 added                                    0              0              0              0
 removed                                  5             13             75            187
Velocity Template Language
 same                                     0              0              0              0
 modified                                 0              0              0              0
 added                                    1             12              0            101
 removed                                  0              0              0              0
Bourne Shell
 same                                     0              0              0              0
 modified                                 0              0              0              0
 added                                    1              3             16              2
 removed                                  0              0              0              0
-------------------------------------------------------------------------------
SUM:
 same                                     0              0              0              0
 modified                                 0              0              0              0
 added                                   75           1376           5302           6577
 removed                                 66           1267           4682           6087
-------------------------------------------------------------------------------
