      89 text files.
classified 89 files      89 unique files.                              
      64 files ignored.

http://cloc.sourceforge.net v 1.64  T=0.29 s (260.9 files/s, 46114.5 lines/s)
----------------------------------------------------------------------------------------
Language                              files          blank        comment           code
----------------------------------------------------------------------------------------
Java                                     54           1065           4795           4299
XML                                      17            251            419           1662
Maven                                     1             13             15            270
Ant                                       1             32             57            243
Velocity Template Language                1             12              0            101
Bourne Shell                              1              3             16              2
----------------------------------------------------------------------------------------
SUM:                                     75           1376           5302           6577
----------------------------------------------------------------------------------------
