Issue Type,Custom field (Patch Info),Issue key,Issue id,Summary,Assignee,Reporter,Priority,Status,Resolution,Created,Updated,Due Date
Bug,,CAMEL-10562,13026008,UnsupportedOperationException in DefaultCamelContext#safelyStartRouteServices,davsclaus,sschulze,Critical,Resolved,Fixed,2016-12-06 16:18,2016-12-08 8:43,
Bug,,CAMEL-10409,13014501,Double release of netty buffer,njiang,tivv,Critical,Resolved,Fixed,2016-10-22 14:24,2016-11-16 12:12,
Bug,,CAMEL-13374,13224371,XMLTokenExpressionIterator Default Exchange charset overrides original xml encoding from InputStream,,smithsv,Major,Open,,2019-03-27 17:04,2019-03-29 9:09,
Bug,,CAMEL-13249,13217489,Header filtering in HTTP producers from RestProducerFactory filters IN instead of OUT headers,zregvart,zregvart,Major,Resolved,Fixed,2019-02-22 17:00,2019-02-25 15:54,
Bug,,JCR-4414,13214923,HTTP 503 Error - Service Unavailable - Standalone Jar,reschke,debupaul009,Major,Resolved,Cannot Reproduce,2019-02-11 6:24,2019-02-12 15:25,
Bug,Patch Available,CAMEL-12969,13201658,camel-core-osgi: Slow Memory Leak in OsgiServiceRegistry,davsclaus,bobpaulin,Major,Resolved,Fixed,2018-11-30 15:46,2018-12-30 19:38,
Bug,Patch Available,CAMEL-12987,13203243,camel-core-osgi: OsgiServiceRegistry.onContextStop never gets called.,davsclaus,bobpaulin,Major,Resolved,Fixed,2018-12-09 2:58,2018-12-11 13:22,
Bug,,CAMEL-10894,13045988,XML Validator: Improve DTD handling,forsthofer,forsthofer,Major,Resolved,Fixed,2017-02-24 11:05,2018-04-16 8:55,
Bug,,CAMEL-10424,13016345,Bean should act like transform/setBody when setting result,davsclaus,davsclaus,Major,Resolved,Fixed,2016-10-29 10:06,2018-03-09 8:59,
Bug,,CAMEL-10587,13027409,Extending SQS message invisibility timeout not working in some cases,,sindre.mehus,Major,Open,,2016-12-12 9:48,2018-02-26 13:18,
Bug,,CAMEL-11996,13116710,RabbitConsumer could hang when RabbitMQ connection is lost and autoAck=false.,davsclaus,jmongard,Major,Resolved,Fixed,2017-11-07 15:33,2018-02-02 8:53,
Bug,,CAMEL-12120,13128293,ErrorHandler is closed after failure in RoutingSlip ,davsclaus,sycyhy,Major,Resolved,Fixed,2018-01-03 19:04,2018-01-05 11:41,
Bug,,CAMEL-12016,13119605,Invalid Pool Exhausted error on camel-netty4,ancosen,dvor4x,Major,Resolved,Fixed,2017-11-20 10:12,2017-11-20 12:07,
Bug,,CAMEL-11670,13094563,Camel Aggregator strategy Exchange- java.lang.ClassCastException - org.apache.camel.impl.DefaultMessage cannot be cast to org.apache.camel.component.jms.JmsMessage,davsclaus,rajithapl,Major,Resolved,Won't Fix,2017-08-14 18:56,2017-08-28 8:51,
Bug,,CAMEL-10392,13012829,HTTP session handling in Camel routes,siano,siano,Major,Resolved,Fixed,2016-10-17 11:20,2017-08-10 9:25,
Bug,,CAMEL-11536,13086491,camelContext.getManagedCamelContext returns null in 2.18+,davsclaus,monti,Major,Resolved,Not A Problem,2017-07-12 7:21,2017-07-14 18:07,
Bug,,CAMEL-11463,13082851,back port CAMEL-11319 to 2.18,ancosen,valdar,Major,Resolved,Fixed,2017-06-27 15:33,2017-06-28 8:03,
Bug,,CAMEL-11414,13080058,camel-restlet - Rest DSL issue with empty path variables,davsclaus,davsclaus,Major,Resolved,Cannot Reproduce,2017-06-15 11:18,2017-06-23 13:51,
Bug,,CAMEL-11281,13071950,camel-spring is not usable in an osgi-context,davsclaus,guyv,Major,Resolved,Fixed,2017-05-15 11:20,2017-05-16 9:46,
